#name|serial|detectorType|x|y|refPixPos_x|refPixPos_y|yaw|pitch|roll|pixelSize|npix_x|npix_y
R:0,0 S:0,0|1234|2|-3.12|-2.02|99.5|101.5|180.|0.|0.|0.01|200|204
R:0,0 S:1,0|1235|0|-1.1|-2.02|99.5|101.5|90.|0.|0.|0.01|200|204
R:0,0 S:0,1|1236|0|-3.12|0.|99.5|101.5|0.|0.|0.|0.01|200|204
R:0,0 S:1,1|1237|0|-1.1|0.|99.5|101.5|0.|0.|0.|0.01|200|204
R:0,0 S:0,2|1238|0|-3.12|2.02|99.5|101.5|180.|0.|0.|0.01|200|204
R:0,0 S:1,2|1239|0|-1.1|2.02|99.5|101.5|180.|0.|0.|0.01|200|204
R:1,0 S:0,0|1244|2|1.1|-2.02|99.5|101.5|180.|0.|0.|0.01|200|204
R:1,0 S:1,0|1245|0|3.12|-2.02|99.5|101.5|0.|0.|0.|0.01|200|204
R:1,0 S:0,1|1246|0|1.1|0.|99.5|101.5|0.|0.|0.|0.01|200|204
R:1,0 S:1,1|1247|0|3.12|0.|99.5|101.5|90.|0.|0.|0.01|200|204
R:1,0 S:0,2|1248|0|1.1|2.02|99.5|101.5|180.|0.|0.|0.01|200|204
R:1,0 S:1,2|1249|0|3.12|2.02|99.5|101.5|180.|0.|0.|0.01|200|204
